Register;Field;Typ;Accuracy;Unit;Min;Max;Read
05C1;;;;;;;
05C2;;;;;;;
05C3;;;;;;;
05C4;Power_PV_Total;U16;0,1;kW;;;R
0600;AddressMask_Realtime_Input_Bat1;U64;;;;;R
0601;;;;;;;
0602;;;;;;;
0603;;;;;;;
0604;Voltage_Bat1;U16;0,1;V;;;R
0605;Current_Bat1;I16;0,01;A;;;R
0606;Power_Bat1;I16;0,01;kW;;;R
0607;Temperature_Env_Bat1;I16;1;°C;;;R
0608;SOC_Bat1;U16;1;%;;;R
0609;SOH_Bat1;U16;1;%;;;R
060A;ChargeCycle_Bat1;U16;1;cycle;;;R
060B;Voltage_Bat2;U16;0,1;V;;;R
060C;Current_Bat2;I16;0,01;A;;;R
060D;Power_Bat2;I16;0,01;kW;;;R
060E;Temperature_Env_Bat2;I16;1;°C;;;R
060F;SOC_Bat2;U16;1;%;;;R
0610;SOH_Bat2;U16;1;%;;;R
0611;ChargeCycle_Bat2;U16;1;cycle;;;R
0612;Voltage_Bat3;U16;0,1;V;;;R
0613;Current_Bat3;I16;0,01;A;;;R
0614;Power_Bat3;I16;0,01;kW;;;R
0615;Temperature_Env_Bat3;I16;1;°C;;;R
0616;SOC_Bat3;U16;1;%;;;R
0617;SOH_Bat3;U16;1;%;;;R
0618;ChargeCycle_Bat3;U16;1;cycle;;;R
0619;Voltage_Bat4;U16;0,1;V;;;R
061A;Current_Bat4;I16;0,01;A;;;R
061B;Power_Bat4;I16;0,01;kW;;;R
061C;Temperature_Env_Bat4;I16;1;°C;;;R
061D;SOC_Bat4;U16;1;%;;;R
061E;SOH_Bat4;U16;1;%;;;R
061F;ChargeCycle_Bat4;U16;1;cycle;;;R
0620;Voltage_Bat5;U16;0,1;V;;;R
0621;Current_Bat5;I16;0,01;A;;;R
0622;Power_Bat5;I16;0,01;kW;;;R
0623;Temperature_Env_Bat5;I16;1;°C;;;R
0624;SOC_Bat5;U16;1;%;;;R
0625;SOH_Bat5;U16;1;%;;;R
0626;ChargeCycle_Bat5;U16;1;cycle;;;R
0627;Voltage_Bat6;U16;0,1;V;;;R
0628;Current_Bat6;I16;0,01;A;;;R
0629;Power_Bat6;I16;0,01;kW;;;R
062A;Temperature_Env_Bat6;I16;1;°C;;;R
062B;SOC_Bat6;U16;1;%;;;R
062C;SOH_Bat6;U16;1;%;;;R
062D;ChargeCycle_Bat6;U16;1;cycle;;;R
062E;Voltage_Bat7;U16;0,1;V;;;R
062F;Current_Bat7;I16;0,01;A;;;R
0630;Power_Bat7;I16;0,01;kW;;;R
0631;Temperature_Env_Bat7;I16;1;°C;;;R
0632;SOC_Bat7;U16;1;%;;;R
0633;SOH_Bat7;U16;1;%;;;R
0634;ChargeCycle_Bat7;U16;1;cycle;;;R
