Register;Field;Typ;Accuracy;Unit;Min;Max;Read
1183;;;;;;;
1184;Passive_Timeout;U16;1;seconds;0;65535;RW
1185;Passive_Timeout_Action;U16;;;0;1;RW
1186;Passive_Rsvd1;;;;;;
1187;Passive_Manual_Gdes;I32;1;W;-2147483648;2147483647 ;RW
1188;;;;;;;
1189;Passive_Manual_Blo;I32;1;W;-2147483648;2147483647 ;RW
118A;;;;;;;
118B;Passive_Manual_Bup;I32;1;W;-2147483648;2147483647 ;RW
118C;;;;;;;
118D;Passive_Manual_Gdzup;I32;1;W;-2147483648;2147483647 ;RW
118E;;;;;;;
118F;Passive_Manual_Gdzlo;I32;1;W;-2147483648;2147483647 ;RW
1190;;;;;;;
1191;Passive_Scheduler_Gdes_Ante;I32;1;W;-2147483648;2147483647 ;RW
1192;;;;;;;
1193;Passive_Scheduler_Blo_Ante;I32;1;W;-2147483648;2147483647 ;RW
1194;;;;;;;
1195;Passive_Scheduler_Bup_Ante;I32;1;W;-2147483648;2147483647 ;RW
1196;;;;;;;
1197;Passive_Scheduler_Gdzup_Ante;I32;1;W;-2147483648;2147483647 ;RW
1198;;;;;;;
1199;Passive_Scheduler_Gdzlo_Ante;I32;1;W;-2147483648;2147483647 ;RW
119A;;;;;;;
119B;Passive_Scheduler_Gdes_Post;I32;1;W;-2147483648;2147483647 ;RW
119C;;;;;;;
119D;Passive_Scheduler_Blo_Post;I32;1;W;-2147483648;2147483647 ;RW
119E;;;;;;;
119F;Passive_Scheduler_Bup_Post;I32;1;W;-2147483648;2147483647 ;RW
11A0;;;;;;;
11A1;Passive_Scheduler_Gdzup_Post;I32;1;W;-2147483648;2147483647 ;RW
11A2;;;;;;;
11A3;Passive_Scheduler_Gdzlo_Post;I32;1;W;-2147483648;2147483647 ;RW
11A4;;;;;;;
11A5;Passive_Scheduler_StartTime;U32;1;seconds;0;4294967296 ;RW
11A6;;;;;;;
11A7;Passive_Scheduler_DurationTime;U32;1;seconds;0;4294967296 ;RW
11A8;;;;;;;
11A9;Passive_Scheduler_ManagementMode;U16;;;0;2;RW
11AA;;;;;;;
11AB;;;;;;;
11AC;;;;;;;
11AD;;;;;;;
11AE;;;;;;;
11AF;;;;;;;
11B0;;;;;;;
11B1;;;;;;;
11B2;;;;;;;
11B3;;;;;;;
11B4;;;;;;;
11B5;;;;;;;
11B6;;;;;;;
11B7;;;;;;;
11B8;;;;;;;
11B9;;;;;;;
11BA;;;;;;;
11BB;;;;;;;
11BC;;;;;;;
11BD;;;;;;;
11BE;;;;;;;
11BF;;;;;;;
11C0;AddressMask_Config_Remote4;U64;;;;;R
11C1;;;;;;;
11C2;;;;;;;
11C3;;;;;;;
11C4;CommBreak_Protect_Enable;U16;1;;0;65535;RW
11C5;CommBreak_Recovery_Mode;U16;1;;0;65535;RW
11C6;CommBreak_Threshold_Time;U16;1;min;10;120;RW
11C7;CommBreak_Mode_Judge;U16;1;;0;65535;RW
11C8;CommBreak_Alarm_Clear;U16;1;;0;65535;W
1300;AddressMask_Config_ReadOnly_Result1;U64;;;;;R
1301;;;;;;;
1302;;;;;;;
1303;;;;;;;
1304;Italay_Autotest_Result1;U16;0,1;V;;;R
1305;Italay_Autotest_Result2;U16;1;ms;;;R
1306;Italay_Autotest_Result3;U16;0,1;V;;;R
1307;Italay_Autotest_Result4;U16;1;ms;;;R
1308;Italay_Autotest_Result5;U16;0,1;V;;;R
1309;Italay_Autotest_Result6;U16;1;ms;;;R
130A;Italay_Autotest_Result7;U16;0,1;V;;;R
130B;Italay_Autotest_Result8;U16;1;ms;;;R
130C;Italay_Autotest_Result9;U16;0,1;V;;;R
130D;Italay_Autotest_Result10;U16;1;ms;;;R
130E;Italay_Autotest_Result11;U16;0,1;V;;;R
130F;Italay_Autotest_Result12;U16;1;ms;;;R
1310;Italay_Autotest_Result13;U16;0,1;V;;;R
1311;Italay_Autotest_Result14;U16;1;ms;;;R
1312;Italay_Autotest_Result15;U16;0,1;V;;;R
1313;Italay_Autotest_Result16;U16;1;ms;;;R
1314;Italay_Autotest_Result17;U16;0,01;Hz;;;R
1315;Italay_Autotest_Result18;U16;1;ms;;;R
1316;Italay_Autotest_Result19;U16;0,01;Hz;;;R
1317;Italay_Autotest_Result20;U16;1;ms;;;R
1318;Italay_Autotest_Result21;U16;0,01;Hz;;;R
1319;Italay_Autotest_Result22;U16;1;ms;;;R
131A;Italay_Autotest_Result23;U16;0,01;Hz;;;R
131B;Italay_Autotest_Result24;U16;1;ms;;;R
131C;Italay_Autotest_Result25;U16;0,01;Hz;;;R
131D;Italay_Autotest_Result26;U16;1;ms;;;R
131E;Italay_Autotest_Result27;U16;0,01;Hz;;;R
131F;Italay_Autotest_Result28;U16;1;ms;;;R
1320;Italay_Autotest_Result29;U16;0,01;Hz;;;R
1321;Italay_Autotest_Result30;U16;1;ms;;;R
1322;Italay_Autotest_Result31;U16;0,01;Hz;;;R
1323;Italay_Autotest_Result32;U16;1;ms;;;R
1324;Italay_Autotest_Result33;;;;;;
1325;Italay_Autotest_Result34;;;;;;
1326;Italay_Autotest_Result35;;;;;;
1327;Italay_Autotest_Result36;;;;;;
1328;Italay_Autotest_Result37;;;;;;
1329;Italay_Autotest_Result38;;;;;;
132A;Italay_Autotest_Result39;;;;;;
132B;Italay_Autotest_Result40;;;;;;
132C;Italay_Autotest_Result41;;;;;;
132D;Italay_Autotest_Result42;;;;;;
132E;Italay_Autotest_Result43;;;;;;
132F;Italay_Autotest_Result44;;;;;;
1330;Italay_Autotest_Result45;;;;;;
1331;Italay_Autotest_Result46;;;;;;
1332;Italay_Autotest_Result47;;;;;;
1333;Italay_Autotest_Result48;;;;;;
1340;AddressMask_Config_ReadOnly_Result2;U64;;;;;R
1341;;;;;;;
1342;;;;;;;
1343;;;;;;;
1344;IVCurve_Voltage1;U16;0,1;V;;;R
1345;IVCurve_Current1;U16;0,01;A;;;R
1346;IVCurve_Voltage2;U16;0,1;V;;;R
1347;IVCurve_Current2;U16;0,01;A;;;R
1348;IVCurve_Voltage3;U16;0,1;V;;;R
1349;IVCurve_Current3;U16;0,01;A;;;R
134A;IVCurve_Voltage4;U16;0,1;V;;;R
134B;IVCurve_Current4;U16;0,01;A;;;R
134C;IVCurve_Voltage5;U16;0,1;V;;;R
134D;IVCurve_Current5;U16;0,01;A;;;R
134E;IVCurve_Voltage6;U16;0,1;V;;;R
134F;IVCurve_Current6;U16;0,01;A;;;R
1350;IVCurve_Voltage7;U16;0,1;V;;;R
1351;IVCurve_Current7;U16;0,01;A;;;R
1352;IVCurve_Voltage8;U16;0,1;V;;;R
1353;IVCurve_Current8;U16;0,01;A;;;R
1354;IVCurve_Voltage9;U16;0,1;V;;;R
1355;IVCurve_Current9;U16;0,01;A;;;R
1356;IVCurve_Voltage10;U16;0,1;V;;;R
1357;IVCurve_Current10;U16;0,01;A;;;R
1358;IVCurve_Voltage11;U16;0,1;V;;;R
1359;IVCurve_Current11;U16;0,01;A;;;R
135A;IVCurve_Voltage12;U16;0,1;V;;;R
135B;IVCurve_Current12;U16;0,01;A;;;R
135C;IVCurve_Voltage13;U16;0,1;V;;;R
135D;IVCurve_Current13;U16;0,01;A;;;R
135E;IVCurve_Voltage14;U16;0,1;V;;;R
135F;IVCurve_Current14;U16;0,01;A;;;R
1360;IVCurve_Voltage15;U16;0,1;V;;;R
1361;IVCurve_Current15;U16;0,01;A;;;R
1362;IVCurve_Voltage16;U16;0,1;V;;;R
1363;IVCurve_Current16;U16;0,01;A;;;R
1364;IVCurve_Voltage17;U16;0,1;V;;;R
1365;IVCurve_Current17;U16;0,01;A;;;R
1366;IVCurve_Voltage18;U16;0,1;V;;;R
1367;IVCurve_Current18;U16;0,01;A;;;R
1368;IVCurve_Voltage19;U16;0,1;V;;;R
1369;IVCurve_Current19;U16;0,01;A;;;R
136A;IVCurve_Voltage20;U16;0,1;V;;;R
136B;IVCurve_Current20;U16;0,01;A;;;R
136C;IVCurve_Voltage21;U16;0,1;V;;;R
136D;IVCurve_Current21;U16;0,01;A;;;R
136E;IVCurve_Voltage22;U16;0,1;V;;;R
136F;IVCurve_Current22;U16;0,01;A;;;R
1370;IVCurve_Voltage23;U16;0,1;V;;;R
1371;IVCurve_Current23;U16;0,01;A;;;R
1372;IVCurve_Voltage24;U16;0,1;V;;;R
1373;IVCurve_Current24;U16;0,01;A;;;R
1374;IVCurve_Voltage25;U16;0,1;V;;;R
1375;IVCurve_Current25;U16;0,01;A;;;R
1376;IVCurve_Voltage26;U16;0,1;V;;;R
1377;IVCurve_Current26;U16;0,01;A;;;R
1378;IVCurve_Voltage27;U16;0,1;V;;;R
1379;IVCurve_Current27;U16;0,01;A;;;R
137A;IVCurve_Voltage28;U16;0,1;V;;;R
137B;IVCurve_Current28;U16;0,01;A;;;R
137C;IVCurve_Voltage29;U16;0,1;V;;;R
137D;IVCurve_Current29;U16;0,01;A;;;R
137E;IVCurve_Voltage30;U16;0,1;V;;;R
137F;IVCurve_Current30;U16;0,01;A;;;R
1380;AddressMask_Config_ReadOnly_Result3;U64;;;;;R
1381;;;;;;;
1382;;;;;;;
1383;;;;;;;
1384;IVCurve_Voltage31;U16;0,1;V;;;R
1385;IVCurve_Current31;U16;0,01;A;;;R
1386;IVCurve_Voltage32;U16;0,1;V;;;R
1387;IVCurve_Current32;U16;0,01;A;;;R
1388;IVCurve_Voltage33;U16;0,1;V;;;R
1389;IVCurve_Current33;U16;0,01;A;;;R
138A;IVCurve_Voltage34;U16;0,1;V;;;R
138B;IVCurve_Current34;U16;0,01;A;;;R
138C;IVCurve_Voltage35;U16;0,1;V;;;R
138D;IVCurve_Current35;U16;0,01;A;;;R
138E;IVCurve_Voltage36;U16;0,1;V;;;R
138F;IVCurve_Current36;U16;0,01;A;;;R
1390;IVCurve_Voltage37;U16;0,1;V;;;R
1391;IVCurve_Current37;U16;0,01;A;;;R
1392;IVCurve_Voltage38;U16;0,1;V;;;R
1393;IVCurve_Current38;U16;0,01;A;;;R
1394;IVCurve_Voltage39;U16;0,1;V;;;R
1395;IVCurve_Current39;U16;0,01;A;;;R
1396;IVCurve_Voltage40;U16;0,1;V;;;R
1397;IVCurve_Current40;U16;0,01;A;;;R
1398;IVCurve_Voltage41;U16;0,1;V;;;R
1399;IVCurve_Current41;U16;0,01;A;;;R
139A;IVCurve_Voltage42;U16;0,1;V;;;R
139B;IVCurve_Current42;U16;0,01;A;;;R
139C;IVCurve_Voltage43;U16;0,1;V;;;R
139D;IVCurve_Current43;U16;0,01;A;;;R
139E;IVCurve_Voltage44;U16;0,1;V;;;R
139F;IVCurve_Current44;U16;0,01;A;;;R
13A0;IVCurve_Voltage45;U16;0,1;V;;;R
13A1;IVCurve_Current45;U16;0,01;A;;;R
13A2;IVCurve_Voltage46;U16;0,1;V;;;R
13A3;IVCurve_Current46;U16;0,01;A;;;R
13A4;IVCurve_Voltage47;U16;0,1;V;;;R
13A5;IVCurve_Current47;U16;0,01;A;;;R
13A6;IVCurve_Voltage48;U16;0,1;V;;;R
13A7;IVCurve_Current48;U16;0,01;A;;;R
13A8;IVCurve_Voltage49;U16;0,1;V;;;R
13A9;IVCurve_Current49;U16;0,01;A;;;R
13AA;IVCurve_Voltage50;U16;0,1;V;;;R
13AB;IVCurve_Current50;U16;0,01;A;;;R
13AC;IVCurve_Voltage51;U16;0,1;V;;;R
13AD;IVCurve_Current51;U16;0,01;A;;;R
13AE;IVCurve_Voltage52;U16;0,1;V;;;R
13AF;IVCurve_Current52;U16;0,01;A;;;R
13B0;IVCurve_Voltage53;U16;0,1;V;;;R
13B1;IVCurve_Current53;U16;0,01;A;;;R
13B2;IVCurve_Voltage54;U16;0,1;V;;;R
13B3;IVCurve_Current54;U16;0,01;A;;;R
13B4;IVCurve_Voltage55;U16;0,1;V;;;R
13B5;IVCurve_Current55;U16;0,01;A;;;R
13B6;IVCurve_Voltage56;U16;0,1;V;;;R
13B7;IVCurve_Current56;U16;0,01;A;;;R
13B8;IVCurve_Voltage57;U16;0,1;V;;;R
13B9;IVCurve_Current57;U16;0,01;A;;;R
13BA;IVCurve_Voltage58;U16;0,1;V;;;R
13BB;IVCurve_Current58;U16;0,01;A;;;R
13BC;IVCurve_Voltage59;U16;0,1;V;;;R
13BD;IVCurve_Current59;U16;0,01;A;;;R
13BE;IVCurve_Voltage60;U16;0,1;V;;;R
13BF;IVCurve_Current60;U16;0,01;A;;;R
13C0;AddressMask_Config_ReadOnly_Result4;U64;;;;;R
13C1;;;;;;;
13C2;;;;;;;
13C3;;;;;;;
13C4;IVCurve_Voltage61;U16;0,1;V;;;R
13C5;IVCurve_Current61;U16;0,01;A;;;R
13C6;IVCurve_Voltage62;U16;0,1;V;;;R
13C7;IVCurve_Current62;U16;0,01;A;;;R
13C8;IVCurve_Voltage63;U16;0,1;V;;;R
13C9;IVCurve_Current63;U16;0,01;A;;;R
13CA;IVCurve_Voltage64;U16;0,1;V;;;R
13CB;IVCurve_Current64;U16;0,01;A;;;R
13CC;IVCurve_Voltage65;U16;0,1;V;;;R
13CD;IVCurve_Current65;U16;0,01;A;;;R
13CE;IVCurve_Voltage66;U16;0,1;V;;;R
13CF;IVCurve_Current66;U16;0,01;A;;;R
13D0;IVCurve_Voltage67;U16;0,1;V;;;R
13D1;IVCurve_Current67;U16;0,01;A;;;R
13D2;IVCurve_Voltage68;U16;0,1;V;;;R
13D3;IVCurve_Current68;U16;0,01;A;;;R
13D4;IVCurve_Voltage69;U16;0,1;V;;;R
13D5;IVCurve_Current69;U16;0,01;A;;;R
13D6;IVCurve_Voltage70;U16;0,1;V;;;R
13D7;IVCurve_Current70;U16;0,01;A;;;R
13D8;IVCurve_Voltage71;U16;0,1;V;;;R
13D9;IVCurve_Current71;U16;0,01;A;;;R
13DA;IVCurve_Voltage72;U16;0,1;V;;;R
13DB;IVCurve_Current72;U16;0,01;A;;;R
13DC;IVCurve_Voltage73;U16;0,1;V;;;R
13DD;IVCurve_Current73;U16;0,01;A;;;R
13DE;IVCurve_Voltage74;U16;0,1;V;;;R
13DF;IVCurve_Current74;U16;0,01;A;;;R
13E0;IVCurve_Voltage75;U16;0,1;V;;;R
13E1;IVCurve_Current75;U16;0,01;A;;;R
13E2;IVCurve_Voltage76;U16;0,1;V;;;R
13E3;IVCurve_Current76;U16;0,01;A;;;R
13E4;IVCurve_Voltage77;U16;0,1;V;;;R
13E5;IVCurve_Current77;U16;0,01;A;;;R
13E6;IVCurve_Voltage78;U16;0,1;V;;;R
13E7;IVCurve_Current78;U16;0,01;A;;;R
13E8;IVCurve_Voltage79;U16;0,1;V;;;R
13E9;IVCurve_Current79;U16;0,01;A;;;R
13EA;IVCurve_Voltage80;U16;0,1;V;;;R
13EB;IVCurve_Current80;U16;0,01;A;;;R
13EC;IVCurve_Voltage81;U16;0,1;V;;;R
13ED;IVCurve_Current81;U16;0,01;A;;;R
13EE;IVCurve_Voltage82;U16;0,1;V;;;R
13EF;IVCurve_Current82;U16;0,01;A;;;R
13F0;IVCurve_Voltage83;U16;0,1;V;;;R
13F1;IVCurve_Current83;U16;0,01;A;;;R
13F2;IVCurve_Voltage84;U16;0,1;V;;;R
13F3;IVCurve_Current84;U16;0,01;A;;;R
13F4;IVCurve_Voltage85;U16;0,1;V;;;R
13F5;IVCurve_Current85;U16;0,01;A;;;R
13F6;IVCurve_Voltage86;U16;0,1;V;;;R
13F7;IVCurve_Current86;U16;0,01;A;;;R
13F8;IVCurve_Voltage87;U16;0,1;V;;;R
13F9;IVCurve_Current87;U16;0,01;A;;;R
13FA;IVCurve_Voltage88;U16;0,1;V;;;R
13FB;IVCurve_Current88;U16;0,01;A;;;R
13FC;IVCurve_Voltage89;U16;0,1;V;;;R
13FD;IVCurve_Current89;U16;0,01;A;;;R
13FE;IVCurve_Voltage90;U16;0,1;V;;;R
13FF;IVCurve_Current90;U16;0,01;A;;;R
1400;AddressMask_Config_ReadOnly_Result5;U64;;;;;R
1401;;;;;;;
1402;;;;;;;
1403;;;;;;;
1404;IVCurve_Voltage91;U16;0,1;V;;;R
1405;IVCurve_Current91;U16;0,01;A;;;R
1406;IVCurve_Voltage92;U16;0,1;V;;;R
1407;IVCurve_Current92;U16;0,01;A;;;R
1408;IVCurve_Voltage93;U16;0,1;V;;;R
1409;IVCurve_Current93;U16;0,01;A;;;R
140A;IVCurve_Voltage94;U16;0,1;V;;;R
140B;IVCurve_Current94;U16;0,01;A;;;R
140C;IVCurve_Voltage95;U16;0,1;V;;;R
140D;IVCurve_Current95;U16;0,01;A;;;R
140E;IVCurve_Voltage96;U16;0,1;V;;;R
140F;IVCurve_Current96;U16;0,01;A;;;R
1410;IVCurve_Voltage97;U16;0,1;V;;;R
1411;IVCurve_Current97;U16;0,01;A;;;R
1412;IVCurve_Voltage98;U16;0,1;V;;;R
1413;IVCurve_Current98;U16;0,01;A;;;R
1414;IVCurve_Voltage99;U16;0,1;V;;;R
1415;IVCurve_Current99;U16;0,01;A;;;R
1416;IVCurve_Voltage100;U16;0,1;V;;;R
1417;IVCurve_Current100;U16;0,01;A;;;R
1418;IVCurve_Voltage101;U16;0,1;V;;;R
1419;IVCurve_Current101;U16;0,01;A;;;R
141A;IVCurve_Voltage102;U16;0,1;V;;;R
141B;IVCurve_Current102;U16;0,01;A;;;R
141C;IVCurve_Voltage103;U16;0,1;V;;;R
141D;IVCurve_Current103;U16;0,01;A;;;R
141E;IVCurve_Voltage104;U16;0,1;V;;;R
141F;IVCurve_Current104;U16;0,01;A;;;R
1420;IVCurve_Voltage105;U16;0,1;V;;;R
1421;IVCurve_Current105;U16;0,01;A;;;R
1422;IVCurve_Voltage106;U16;0,1;V;;;R
1423;IVCurve_Current106;U16;0,01;A;;;R
1424;IVCurve_Voltage107;U16;0,1;V;;;R
1425;IVCurve_Current107;U16;0,01;A;;;R
1426;IVCurve_Voltage108;U16;0,1;V;;;R
1427;IVCurve_Current108;U16;0,01;A;;;R
1428;IVCurve_Voltage109;U16;0,1;V;;;R
1429;IVCurve_Current109;U16;0,01;A;;;R
142A;IVCurve_Voltage110;U16;0,1;V;;;R
142B;IVCurve_Current110;U16;0,01;A;;;R
142C;IVCurve_Voltage111;U16;0,1;V;;;R
142D;IVCurve_Current111;U16;0,01;A;;;R
142E;IVCurve_Voltage112;U16;0,1;V;;;R
142F;IVCurve_Current112;U16;0,01;A;;;R
1430;IVCurve_Voltage113;U16;0,1;V;;;R
1431;IVCurve_Current113;U16;0,01;A;;;R
1432;IVCurve_Voltage114;U16;0,1;V;;;R
1433;IVCurve_Current114;U16;0,01;A;;;R
1434;IVCurve_Voltage115;U16;0,1;V;;;R
1435;IVCurve_Current115;U16;0,01;A;;;R
1436;IVCurve_Voltage116;U16;0,1;V;;;R
1437;IVCurve_Current116;U16;0,01;A;;;R
1438;IVCurve_Voltage117;U16;0,1;V;;;R
1439;IVCurve_Current117;U16;0,01;A;;;R
143A;IVCurve_Voltage118;U16;0,1;V;;;R
143B;IVCurve_Current118;U16;0,01;A;;;R
143C;IVCurve_Voltage119;U16;0,1;V;;;R
143D;IVCurve_Current119;U16;0,01;A;;;R
143E;IVCurve_Voltage120;U16;0,1;V;;;R
143F;IVCurve_Current120;U16;0,01;A;;;R
1440;AddressMask_Config_ReadOnly_Result6;U64;;;;;R
1441;;;;;;;
1442;;;;;;;
1443;;;;;;;
1444;IVCurve_Voltage121;U16;0,1;V;;;R
1445;IVCurve_Current121;U16;0,01;A;;;R
1446;IVCurve_Voltage122;U16;0,1;V;;;R
1447;IVCurve_Current122;U16;0,01;A;;;R
1448;IVCurve_Voltage123;U16;0,1;V;;;R
1449;IVCurve_Current123;U16;0,01;A;;;R
144A;IVCurve_Voltage124;U16;0,1;V;;;R
144B;IVCurve_Current124;U16;0,01;A;;;R
144C;IVCurve_Voltage125;U16;0,1;V;;;R
144D;IVCurve_Current125;U16;0,01;A;;;R
144E;IVCurve_Voltage126;U16;0,1;V;;;R
144F;IVCurve_Current126;U16;0,01;A;;;R
1450;IVCurve_Voltage127;U16;0,1;V;;;R
1451;IVCurve_Current127;U16;0,01;A;;;R
1452;IVCurve_Voltage128;U16;0,1;V;;;R
1453;IVCurve_Current128;U16;0,01;A;;;R
1454;IVCurve_Voltage129;U16;0,1;V;;;R
1455;IVCurve_Current129;U16;0,01;A;;;R
1456;IVCurve_Voltage130;U16;0,1;V;;;R
1457;IVCurve_Current130;U16;0,01;A;;;R
1458;IVCurve_Voltage131;U16;0,1;V;;;R
1459;IVCurve_Current131;U16;0,01;A;;;R
145A;IVCurve_Voltage132;U16;0,1;V;;;R
145B;IVCurve_Current132;U16;0,01;A;;;R
145C;IVCurve_Voltage133;U16;0,1;V;;;R
145D;IVCurve_Current133;U16;0,01;A;;;R
145E;IVCurve_Voltage134;U16;0,1;V;;;R
145F;IVCurve_Current134;U16;0,01;A;;;R
1460;IVCurve_Voltage135;U16;0,1;V;;;R
1461;IVCurve_Current135;U16;0,01;A;;;R
1462;IVCurve_Voltage136;U16;0,1;V;;;R
1463;IVCurve_Current136;U16;0,01;A;;;R
1464;IVCurve_Voltage137;U16;0,1;V;;;R
1465;IVCurve_Current137;U16;0,01;A;;;R
1466;IVCurve_Voltage138;U16;0,1;V;;;R
1467;IVCurve_Current138;U16;0,01;A;;;R
1468;IVCurve_Voltage139;U16;0,1;V;;;R
1469;IVCurve_Current139;U16;0,01;A;;;R
146A;IVCurve_Voltage140;U16;0,1;V;;;R
146B;IVCurve_Current140;U16;0,01;A;;;R
146C;IVCurve_Voltage141;U16;0,1;V;;;R
146D;IVCurve_Current141;U16;0,01;A;;;R
146E;IVCurve_Voltage142;U16;0,1;V;;;R
146F;IVCurve_Current142;U16;0,01;A;;;R
1470;IVCurve_Voltage143;U16;0,1;V;;;R
1471;IVCurve_Current143;U16;0,01;A;;;R
1472;IVCurve_Voltage144;U16;0,1;V;;;R
1473;IVCurve_Current144;U16;0,01;A;;;R
1474;IVCurve_Voltage145;U16;0,1;V;;;R
1475;IVCurve_Current145;U16;0,01;A;;;R
1476;IVCurve_Voltage146;U16;0,1;V;;;R
1477;IVCurve_Current146;U16;0,01;A;;;R
1478;IVCurve_Voltage147;U16;0,1;V;;;R
1479;IVCurve_Current147;U16;0,01;A;;;R
147A;IVCurve_Voltage148;U16;0,1;V;;;R
147B;IVCurve_Current148;U16;0,01;A;;;R
147C;IVCurve_Voltage149;U16;0,1;V;;;R
147D;IVCurve_Current149;U16;0,01;A;;;R
147E;IVCurve_Voltage150;U16;0,1;V;;;R
147F;IVCurve_Current150;U16;0,01;A;;;R
1480;HistoryEventList_ID1;U16;;;;;R
1481;HistoryEventList_yM1;U16;;;;;R
1482;HistoryEventList_dH1;U16;;;;;R
1483;HistoryEventList_ms1;U16;;;;;R
1484;HistoryEventList_ID2;U16;;;;;R
1485;HistoryEventList_yM2;U16;;;;;R
1486;HistoryEventList_dH2;U16;;;;;R
1487;HistoryEventList_ms2;U16;;;;;R
1488;HistoryEventList_ID3;U16;;;;;R
1489;HistoryEventList_yM3;U16;;;;;R
148A;HistoryEventList_dH3;U16;;;;;R
148B;HistoryEventList_ms3;U16;;;;;R
148C;HistoryEventList_ID4;U16;;;;;R
148D;HistoryEventList_yM4;U16;;;;;R
148E;HistoryEventList_dH4;U16;;;;;R
148F;HistoryEventList_ms4;U16;;;;;R
1490;HistoryEventList_ID5;U16;;;;;R
1491;HistoryEventList_yM5;U16;;;;;R
1492;HistoryEventList_dH5;U16;;;;;R
1493;HistoryEventList_ms5;U16;;;;;R
1494;HistoryEventList_ID6;U16;;;;;R
1495;HistoryEventList_yM6;U16;;;;;R
1496;HistoryEventList_dH6;U16;;;;;R
1497;HistoryEventList_ms6;U16;;;;;R
1498;HistoryEventList_ID7;U16;;;;;R
1499;HistoryEventList_yM7;U16;;;;;R
149A;HistoryEventList_dH7;U16;;;;;R
149B;HistoryEventList_ms7;U16;;;;;R
149C;HistoryEventList_ID8;U16;;;;;R
149D;HistoryEventList_yM8;U16;;;;;R
149E;HistoryEventList_dH8;U16;;;;;R
149F;HistoryEventList_ms8;U16;;;;;R
14A0;HistoryEventList_ID9;U16;;;;;R
14A1;HistoryEventList_yM9;U16;;;;;R
14A2;HistoryEventList_dH9;U16;;;;;R
14A3;HistoryEventList_ms9;U16;;;;;R
14A4;HistoryEventList_ID10;U16;;;;;R
14A5;HistoryEventList_yM10;U16;;;;;R
14A6;HistoryEventList_dH10;U16;;;;;R
14A7;HistoryEventList_ms10;U16;;;;;R
14A8;HistoryEventList_ID11;U16;;;;;R
14A9;HistoryEventList_yM11;U16;;;;;R
14AA;HistoryEventList_dH11;U16;;;;;R
14AB;HistoryEventList_ms11;U16;;;;;R
14AC;HistoryEventList_ID12;U16;;;;;R
14AD;HistoryEventList_yM12;U16;;;;;R
14AE;HistoryEventList_dH12;U16;;;;;R
14AF;HistoryEventList_ms12;U16;;;;;R
14B0;HistoryEventList_ID13;U16;;;;;R
14B1;HistoryEventList_yM13;U16;;;;;R
14B2;HistoryEventList_dH13;U16;;;;;R
14B3;HistoryEventList_ms13;U16;;;;;R
14B4;HistoryEventList_ID14;U16;;;;;R
14B5;HistoryEventList_yM14;U16;;;;;R
14B6;HistoryEventList_dH14;U16;;;;;R
14B7;HistoryEventList_ms14;U16;;;;;R
14B8;HistoryEventList_ID15;U16;;;;;R
14B9;HistoryEventList_yM15;U16;;;;;R
14BA;HistoryEventList_dH15;U16;;;;;R
14BB;HistoryEventList_ms15;U16;;;;;R
14BC;HistoryEventList_ID16;U16;;;;;R
14BD;HistoryEventList_yM16;U16;;;;;R
14BE;HistoryEventList_dH16;U16;;;;;R
14BF;HistoryEventList_ms16;U16;;;;;R
14C0;HistoryEventList_ID17;U16;;;;;R
14C1;HistoryEventList_yM17;U16;;;;;R
14C2;HistoryEventList_dH17;U16;;;;;R
14C3;HistoryEventList_ms17;U16;;;;;R
14C4;HistoryEventList_ID18;U16;;;;;R
14C5;HistoryEventList_yM18;U16;;;;;R
14C6;HistoryEventList_dH18;U16;;;;;R
14C7;HistoryEventList_ms18;U16;;;;;R
14C8;HistoryEventList_ID19;U16;;;;;R
14C9;HistoryEventList_yM19;U16;;;;;R
14CA;HistoryEventList_dH19;U16;;;;;R
14CB;HistoryEventList_ms19;U16;;;;;R
14CC;HistoryEventList_ID20;U16;;;;;R
14CD;HistoryEventList_yM20;U16;;;;;R
14CE;HistoryEventList_dH20;U16;;;;;R
14CF;HistoryEventList_ms20;U16;;;;;R
14D0;HistoryEventList_ID21;U16;;;;;R
14D1;HistoryEventList_yM21;U16;;;;;R
14D2;HistoryEventList_dH21;U16;;;;;R
14D3;HistoryEventList_ms21;U16;;;;;R
14D4;HistoryEventList_ID22;U16;;;;;R
14D5;HistoryEventList_yM22;U16;;;;;R
14D6;HistoryEventList_dH22;U16;;;;;R
14D7;HistoryEventList_ms22;U16;;;;;R
14D8;HistoryEventList_ID23;U16;;;;;R
14D9;HistoryEventList_yM23;U16;;;;;R
14DA;HistoryEventList_dH23;U16;;;;;R
14DB;HistoryEventList_ms23;U16;;;;;R
14DC;HistoryEventList_ID24;U16;;;;;R
14DD;HistoryEventList_yM24;U16;;;;;R
14DE;HistoryEventList_dH24;U16;;;;;R
14DF;HistoryEventList_ms24;U16;;;;;R
14E0;HistoryEventList_ID25;U16;;;;;R
14E1;HistoryEventList_yM25;U16;;;;;R
14E2;HistoryEventList_dH25;U16;;;;;R
14E3;HistoryEventList_ms25;U16;;;;;R
14E4;HistoryEventList_ID26;U16;;;;;R
14E5;HistoryEventList_yM26;U16;;;;;R
14E6;HistoryEventList_dH26;U16;;;;;R
14E7;HistoryEventList_ms26;U16;;;;;R
14E8;HistoryEventList_ID27;U16;;;;;R
14E9;HistoryEventList_yM27;U16;;;;;R
